year,week,team,motion_snaps,play_action_pct,,,,,
2018,6,hou,26,0.212,,,,,
2018,6,ind,17,0.163,,,,,
2018,6,jax,8,0.172,,,,,
2018,6,kc,34,0.278,,,,,
2018,6,lar,47,0.394,,,,,
2018,6,lv,20,0.108,,,,,
2018,6,mia,40,0.159,,,,,
2018,6,min,40,0.237,,,,,
2018,6,ne,49,0.405,,,,,
2018,6,nyg,12,0.085,,,,,
2018,6,nyj,17,0.406,,,,,
2018,6,phi,27,0.405,,,,,
2018,6,ari,25,0.343,,,,,
2018,6,pit,34,0.109,,,,,
2018,6,lac,40,0.227,,,,,
2018,6,sf,43,0.24,,,,,
2018,6,sea,27,0.333,,,,,
2018,6,tb,33,0.163,,,,,
2018,6,wsh,40,0.256,,,,,
2018,7,atl,36,0.381,,,,,
2018,7,bal,35,0.268,,,,,
2018,7,buf,7,0.242,,,,,
2018,7,car,28,0.39,,,,,
2018,7,chi,28,0.135,,,,,
2018,7,cin,27,0.229,,,,,
2018,7,clv,31,0.231,,,,,
2018,7,dal,33,0.179,,,,,
2018,7,den,33,0.417,,,,,
2018,7,det,22,0.217,,,,,
2018,7,ten,47,0.324,,,,,
2018,7,hou,26,0.28,,,,,
2018,7,ind,8,0.261,,,,,
2018,7,jax,10,0.13,,,,,
2018,7,kc,45,0.39,,,,,
2018,7,lar,40,0.48,,,,,
2018,7,mia,29,0.229,,,,,
2018,7,min,33,0.317,,,,,
2018,7,ne,49,0.243,,,,,
2018,7,no,23,0.194,,,,,
2018,7,nyg,23,0.238,,,,,
2018,7,nyj,34,0.378,,,,,
2018,7,phi,41,0.366,,,,,
2018,7,ari,27,0.156,,,,,
2018,7,lac,29,0.286,,,,,
2018,7,sf,47,0.265,,,,,
2018,7,tb,41,0.107,,,,,
2018,7,wsh,19,0.269,,,,,
2018,8,bal,27,0.174,,,,,
2018,8,buf,27,0.091,,,,,
2018,8,car,38,0.2,,,,,
2018,8,chi,37,0.29,,,,,
2018,8,cin,22,0.306,,,,,
2018,8,clv,26,0.105,,,,,
2018,8,den,36,0.308,,,,,
2018,8,det,18,0.14,,,,,
2018,8,gb,24,0.152,,,,,
2018,8,hou,19,0.25,,,,,
2018,8,ind,19,0.29,,,,,
2018,8,jax,17,0.044,,,,,
2018,8,kc,37,0.417,,,,,
2018,8,lar,45,0.317,,,,,
2018,8,lv,22,0.286,,,,,
2018,8,mia,33,0.15,,,,,
2018,8,min,33,0.178,,,,,
2018,8,ne,46,0.277,,,,,
2018,8,no,35,0.25,,,,,
2018,8,nyg,26,0.056,,,,,
2018,8,nyj,26,0.067,,,,,
2018,8,phi,27,0.353,,,,,
2018,8,ari,28,0.279,,,,,
2018,8,pit,28,0.189,,,,,
2018,8,sf,50,0.219,,,,,
2018,8,sea,30,0.526,,,,,
